PartNumber,PartName,Description,DamageCategory,risk_level,replacement_interval,boeing_targets,bombardier_targets,mro_targets,geo_targets
1806B0000-02,VALVE ASSY,"Part Number: 1806B0000-02Description: VALVE ASSY FLOW CONTROL",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
104005-1,EVACUATION SLIDE,"Part Number: 104005-1Description: EMERGENCY EVACUATION SLIDE ASSY, AF",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
1152682-2,TRANSMITTER,"Part Number: 1152682-2Description: EMERGENCY LOCATOR TRANSMITTER",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
815470-2,HUB,"Part Number: 815470-2Description: AIRCRAFT PROPELLER HUB",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
0856AE19,PITOT TUBE,"Part Number: 0856AE19Description: PITOT STATIC TUBE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
P3-03-0030-010,ELT,"Part Number: P3-03-0030-010Description: EMERGENCY LOCATION TRANSMITTER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
6594-01,MODULE,"Part Number: 6594-01Description: FIRE & OVERHEAT DETECTION SYSTEM CONTROL MODULE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
342B050000,TEMPERATURE CONTROL,"Part Number: 342B050000Description: TEMPERATURE CONTROL THERMOSTAT",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
41401091-501,PUSHER ASSY,"Part Number: 41401091-501Description: PUSHER ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
15-0026-3,FLOOD LIGHT,"Part Number: 15-0026-3Description: FLOOD LIGHT ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
849589,HYD PUMP,"Part Number: 849589Description: HYD PUMP , ENGINE DRIVEN",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
D72D70487-111,WASTE,"Part Number: D72D70487-111Description: CHUTE WASTE ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
1312A0000-01,VALVE,"Part Number: 1312A0000-01Description: PACK TEMP BYPASS VALVE",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
PH1100-MU-L-1,PITOT TUBE,"Part Number: PH1100-MU-L-1Description: PITOT TUBE, ELECTRICALLY HEATED",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
8061-536,HMU,"Part Number: 8061-536Description: HMU-HYDROMECHANICAL UNIT",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
G7402-04,PANEL,"Part Number: G7402-04Description: CONTROL PANEL-ADF",interior_components,Low,On-condition,"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
L3022036-025,BRACKET,"Part Number: L3022036-025Description: BRACKET",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
6B1156,SHROUD ASSY,"Part Number: 6B1156Description: SHROUD ASSY, VSV STG 3",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
1806D0000-01,VALVE ASSY,"Part Number: 1806D0000-01Description: VALVE ASSY FLOW CONTROL",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
15172-101,PIN,"Part Number: 15172-101Description: DRAG STAY PIN S/A",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
KIT47145-27-20,ELSD KIT,"Part Number: KIT47145-27-20Description: ELSD KIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
3107-89,ANTENNA,"Part Number: 3107-89Description: ANTENNA MARKER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
FE205-000,RUDDER DAMPE,"Part Number: FE205-000Description: RUDDER DAMPER ASSEMBLY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
02-1036-0111,"JACK, MAIN WING","Part Number: 02-1036-0111Description: JACK: TRIPOD,HYD,10TON, 39X39X44IN,260LB",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
A425400470-090,DOOR,"Part Number: A425400470-090Description: DOOR, MIRROR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
341F010000,THERMOSTAT,"Part Number: 341F010000Description: THERMOSTAT SOLENOID",air_conditioning,High,6 months (or ΔP > 4 inches H2O),"Desert operators, Hot climate airlines, Cargo (temp control)",Regional hot-climate operators,"Environmental systems specialists, Heavy MRO",Hot climates + cargo temperature-sensitive operations
ARG7041-1,NUT,"Part Number: ARG7041-1Description: NUT, SIDE BRACE MLG",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
9005000-11203,T3CAS,"Part Number: 9005000-11203Description: T3CAS COMPUTER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
S2521956800000,COVER ASSY,"Part Number: S2521956800000Description: COVER ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
14-6831-6010,PRESSURE GAUGE,"Part Number: 14-6831-6010Description: KIT, STRUT NITROGEN, GAUGING CHARGING",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
410870-5,CYLINDER ASSY,"Part Number: 410870-5Description: NITROGEN CYLINDER ASSY - DAM",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
161W1501-7,RACE ASSY,"Part Number: 161W1501-7Description: RACE ASSY",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
046-55-999-0131,HEADSET,"Part Number: 046-55-999-0131Description: HME46-K, PASSIVE HEADSET, OPEN, JACK CONNECTORS",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
930-2000-010,XMTR RCVR-WEATHER RADAR,"Part Number: 930-2000-010Description: TRANSCEIVER-WEATHER RADAR (RDR-4000)",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
HG1075AE03,IRU,"Part Number: HG1075AE03Description: IRU, INERTIAL REFERENCE UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
R815505-6,PROP BLADE,"Part Number: R815505-6Description: BLADE - PROPELLER",engines,Extreme,On-condition (ultrasound every 500 cycles),"Southwest, Ryanair, American Airlines, Emirates, Qatar Airways","SkyWest, Republic Airways, Jazz Aviation, NetJets","StandardAero, AAR Corp, Honeywell Aerospace, Rolls-Royce Services",High-cycle operations + harsh environments
155006-06-16,HOSE,"Part Number: 155006-06-16Description: HOSE ASSY",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
756A0000-07,CONDENSER ASSY,"Part Number: 756A0000-07Description: CONDENSER-AIR CONDITIONING",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
C20225510,CARBON BRAKE,"Part Number: C20225510Description: BRAKE ASSY-MLG",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
D2907024700400,MANIFOLD ASSY,"Part Number: D2907024700400Description: MANIFOLD ASSY",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
1803B0000-04,CONTROLLER – AIR CON,"Part Number: 1803B0000-04Description: AIR CONDITIONING CONTROLLER",air_conditioning,High,6 months (or ΔP > 4 inches H2O),"Desert operators, Hot climate airlines, Cargo (temp control)",Regional hot-climate operators,"Environmental systems specialists, Heavy MRO",Hot climates + cargo temperature-sensitive operations
65-90305-67,FILTER,"Part Number: 65-90305-67Description: FILTER KIT",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
320548-2,VALVE SOLENOID,"Part Number: 320548-2Description: VALVE, TEMP SOLENOID",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
0871BN3-5,ICE DETECTOR,"Part Number: 0871BN3-5Description: ICE DETECTOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
C20534100,BRAKE ASSY,"Part Number: C20534100Description: BRAKE ASSY-CARBON",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
BACB28AP09P049,BUSHING,"Part Number: BACB28AP09P049Description: BUSHING",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
1816B0000-02,PLENUM,"Part Number: 1816B0000-02Description: CHAMBER-AIR PLENUM",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
PF53361-2PWS,FLUID DISPENSER 2 GA,"Part Number: PF53361-2PWSDescription: FILLER, ENG & IDG OIL 2 GALLON",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
315A2800-1,ACTUATOR,"Part Number: 315A2800-1Description: ACTUATOR - THRUST REVERSER NON-LOCKING",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
A21010-203,EQUIP TEST P.R.V,"Part Number: A21010-203Description: VACUUM TANK - PRESS RELIEF VALVE TESTER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2056C0000-01,PLENUM,"Part Number: 2056C0000-01Description: CHAMBER-AIR PLENUM",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
20505-001-01,HARNESS,"Part Number: 20505-001-01Description: HARNESS,MLG LH/RH",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
1263A0000-03,AIR CYCLE MACHINE,"Part Number: 1263A0000-03Description: MACHINE-AIR CYCLE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
320-549-005-0,SENSOR,"Part Number: 320-549-005-0Description: SENSOR-N2 SPEED",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
H321BDM1,GYROSCOPIC HORIZON,"Part Number: H321BDM1Description: INDICATOR STANDBY HORIZON",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
161W1501-1,RACE,"Part Number: 161W1501-1Description: OUTER RACE ASSY",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
522-2996-011,MARKER BEACON,"Part Number: 522-2996-011Description: RECEIVER-MARKER BEACON",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
BACN10JR6F,NUT,"Part Number: BACN10JR6FDescription: NUTPLATE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
277A6110-3,HUBCAP,"Part Number: 277A6110-3Description: HUBCAP",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
5A3307-9,SLIDE,"Part Number: 5A3307-9Description: ESCAPE SLIDE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
65C19789-7,TRANSMITTER,"Part Number: 65C19789-7Description: TRANSMITTER INSTL-AUTOLAND",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
3218KGB01,SENSOR,"Part Number: 3218KGB01Description: SENSOR, N2 SPEED",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
NSA931432A4BA0A,SWITCH,"Part Number: NSA931432A4BA0ADescription: SWITCH",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
MF10-05-11,MASK-FULL,"Part Number: MF10-05-11Description: MASK-FULL FACE QUICK DONNING",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
85780333-107,TRACK UPPER,"Part Number: 85780333-107Description: TRACK, UPPER",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
20032-2,AC GENERATOR,"Part Number: 20032-2Description: AC GENERATOR",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
397B030000,THERMOSTAT,"Part Number: 397B030000Description: THERMOSTAT SOLENOID",air_conditioning,High,6 months (or ΔP > 4 inches H2O),"Desert operators, Hot climate airlines, Cargo (temp control)",Regional hot-climate operators,"Environmental systems specialists, Heavy MRO",Hot climates + cargo temperature-sensitive operations
3088477-1-1,BOLT SHOULDER,"Part Number: 3088477-1-1Description: BOLT SHOULDER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
103-003-2,HALL SENSOR,"Part Number: 103-003-2Description: HALL EFFECT SENSOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
F70199-1,TIRE GAUGE,"Part Number: F70199-1Description: TYRE PRESSURE INFLATOR",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
SIC5077-4,COMPUTER,"Part Number: SIC5077-4Description: COMPUTER FUEL QTYCMM",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
3-1461-1,WHEEL MAIN,"Part Number: 3-1461-1Description: WHEEL ASSY MLG",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
1145-0015,TRANSMITTER,"Part Number: 1145-0015Description: WATER QUANTITY TRANSMITTER",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
295W1702-3,TRUNION,"Part Number: 295W1702-3Description: TRUNION",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
67847-101,EVACUATION,"Part Number: 67847-101Description: FLAP DRIVE TRANSMISSION",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
190-32435-004,RAIL,"Part Number: 190-32435-004Description: RAIL",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
61620-468,SLIDE,"Part Number: 61620-468Description: EVACUATION SLIDE ASSEMBLY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
02-7813-0100,HYDRAULIC JACK,"Part Number: 02-7813-0100Description: JACK, MAIN GEAR, AXLE, 12 TONS",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
6774G010000,VALVE PRESSURE,"Part Number: 6774G010000Description: VALVE-BLEED PRESSURE REGULATING",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
4-416-1,TORQUE PLAT,"Part Number: 4-416-1Description: TORQUE PLATE ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
03-5800-0010,STABILIZER,"Part Number: 03-5800-0010Description: SUPPORT, FUSELAGE",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
0851CM-2,PITOT PROBE,"Part Number: 0851CM-2Description: PITOT TUBECOLD CLIMATE PITOT PRO",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
473597-18,SMOKE DETECTOR,"Part Number: 473597-18Description: SMOKE DETECTOR (95%-97%) W/FAN",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
473597-1,SMOKE DETECTOR,"Part Number: 473597-1Description: SMOKE DETECTOR (91%-97%) W/FAN",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
473275-03,FLAME DETECTOR,"Part Number: 473275-03Description: FLAME DETECTOR (BEECH)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
473597-2,SMOKE DETECTOR,"Part Number: 473597-2Description: SMOKE DETECTOR, MODEL",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
473227-01,FLAME DETECTOR,"Part Number: 473227-01Description: FLAME DETECTOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
58311-006,CARTRIDGE,"Part Number: 58311-006Description: CARTRIDGE (KIDDE-GRAVINER)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
473597-31,M2K SMOKE DETECTOR,"Part Number: 473597-31Description: M2K SMOKE DETECTOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
475571-29,DISCRETE CABIN SMOKE DETECTOR,"Part Number: 475571-29Description: DISCRETE CABIN SMOKE DETECTOR",interior_components,Low,On-condition,"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
A805300-44,CARTRIDGE,"Part Number: A805300-44Description: CARTRIDGE, POWER DEVICE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
474358,SMOKE DET.,"Part Number: 474358Description: SMOKE DET.(95-97%) W/FAN ARJ21",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
473597-4-07,SMOKE DETECTOR,"Part Number: 473597-4-07Description: SMOKE DETECTOR /DUAL/ (MOD-07)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
A805300-45,CARTRIDGE,"Part Number: A805300-45Description: CARTRIDGE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
446055,WIRE CONNECTOR,"Part Number: 446055Description: WIRE CONNECTOR, SOCKET RECEPTA",electrical_systems,High,15 years (or insulation < 50MΩ),"All operators (safety critical), Aging fleet operators",Regional + business aviation electrical needs,"AAR Corp, StandardAero, Electrical component specialists",Harsh electrical environments + older aircraft
473155,TESTER ASSY.4.3 FLAME DETECTOR,"Part Number: 473155Description: TESTER ASSY.4.3 FLAME DETECTOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
473597-15,SMOKE DETECTOR,"Part Number: 473597-15Description: SMOKE DETECTOR (93%-96%)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
30-326T-1,CONTROL AMP ASSY 28 VDC,"Part Number: 30-326T-1Description: CONTROL AMP ASSY 28 VDC",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
446164,DISCHARGE HEAD,"Part Number: 446164Description: DISCHARGE HEAD",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
31712-302,CHARGE PLUG,"Part Number: 31712-302Description: CHARGE PLUG",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
58331-001,INDICATOR,"Part Number: 58331-001Description: INDICATOR (KIDDE-GRAVINER)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
4950009,SPEED SENSOR,"Part Number: 4950009Description: SENSOR, ENGINE SPEED",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
5909849,SENSOR,"Part Number: 5909849Description: SENSOR OIL LEVEL",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
811149-1,ACTUATOR,"Part Number: 811149-1Description: ACTUATOR, ENGINE CONTROL",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
822-0330-001,TRANSCEIVER,"Part Number: 822-0330-001Description: HF RECEIVER TRANSMITTER",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
EVR750-03-0100A,TRANSCEIVER VHF,"Part Number: EVR750-03-0100ADescription: ENHANCED VHF TRANSCEIVER",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
4951652,OIL COOLER,"Part Number: 4951652Description: OIL COOLER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
4101099H,COOLING FAN,"Part Number: 4101099HDescription: FAN ASSY-COOLING",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
4100837G,BLEED CONTROL VALVE,"Part Number: 4100837GDescription: VALVE ASSY-BLEED CONTROL",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
066-50008-0407,RADAR TRANSCEIVER,"Part Number: 066-50008-0407Description: TRANSCEIVER WEATHER RADAR",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
43885001,OZONE CONVERTOR,"Part Number: 43885001Description: CONVERTER, CATALYIC OZONE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
802170-11,SHUTOFF VALVE,"Part Number: 802170-11Description: VALVE-HIGH PRESSURE SHUTOFF",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
788399-6,AIR/OIL HEAT VALVE,"Part Number: 788399-6Description: VALVE - AIR/OIL HEAT EXCHANGER",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
45-0351-2,LANDING LIGHT,"Part Number: 45-0351-2Description: RETRACTABLE LANDING LIGHT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
822-1338-205,ATC TRANSPONDER,"Part Number: 822-1338-205Description: ATC TRANSPONDER",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
822-1287-101,TRANSCEIVER,"Part Number: 822-1287-101Description: VHF COMMUNICATIONS TRANSCEIVER",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
